Date,Start Time,End Time,Work Type,Duration
01/26/2021,08:00,10:00,1,120
01/26/2021,10:00,12:00,3,120
01/26/2021,15:00,16:30,10,90
01/26/2021,16:30,17:00,4,30
01/26/2021,17:00,19:30,2,150
01/26/2021,20:00,21:00,12,60
01/26/2021,21:00,23:00,6,120
01/27/2021,08:00,10:00,1,120
01/27/2021,10:30,11:00,2,30
01/27/2021,16:00,17:00,2,60
01/27/2021,17:00,18:00,6,60
01/27/2021,18:00,19:00,4,60
01/27/2021,20:30,23:00,11,150
01/27/2021,23:00,00:00,4,60
01/28/2021,00:00,01:00,11,60
01/28/2021,08:00,10:00,1,120
01/28/2021,14:30,15:00,3,30
01/28/2021,15:00,16:30,7,90
01/28/2021,16:30,17:00,3,30
01/28/2021,19:00,21:00,2,120
01/29/2021,02:00,04:00,1,120
01/29/2021,07:00,08:00,11,60
01/29/2021,09:00,10:00,6,60
01/29/2021,10:00,11:00,1,60
01/30/2021,08:30,09:30,3,60
01/30/2021,13:00,16:30,4,210
01/30/2021,19:30,21:00,5,90
01/31/2021,12:30,13:00,4,30
01/31/2021,13:00,13:30,12,30
01/31/2021,14:00,16:00,5,120
01/31/2021,17:00,18:00,8,60
02/01/2021,23:00,23:30,12,30
02/02/2021,08:00,10:00,1,120
02/02/2021,11:00,12:00,2,60
02/02/2021,15:00,16:30,2,90
02/02/2021,18:30,19:30,12,60
02/02/2021,23:00,00:00,2,60
02/03/2021,00:00,00:30,2,30
02/03/2021,00:30,02:00,5,90
02/03/2021,11:30,12:00,10,30
02/03/2021,12:00,15:00,1,180
02/03/2021,15:00,17:00,2,120
02/03/2021,21:30,00:00,11,150
02/04/2021,00:00,00:30,11,30
02/04/2021,08:00,10:00,1,120
02/04/2021,10:00,11:30,3,90
02/04/2021,11:30,12:00,10,30
02/04/2021,16:30,17:30,11,60
02/04/2021,17:30,18:30,9,60
02/04/2021,21:00,22:00,6,60
02/04/2021,22:00,23:30,9,90
02/05/2021,07:00,08:00,11,60
02/05/2021,08:00,09:00,1,60
02/05/2021,09:00,10:00,6,60
02/05/2021,10:00,11:00,1,60
02/06/2021,09:00,10:00,2,60
02/06/2021,11:00,13:00,1,120
02/06/2021,13:30,16:00,4,150
02/06/2021,17:00,19:00,12,120
02/06/2021,22:00,23:30,4,90
02/07/2021,16:30,19:00,12,150
02/07/2021,19:00,20:30,7,90
02/08/2021,08:00,09:00,4,60
02/08/2021,09:00,10:00,3,60
02/08/2021,11:00,12:00,3,60
02/08/2021,13:00,15:00,8,120
02/09/2021,08:00,10:00,1,120
02/09/2021,11:00,12:00,4,60
02/09/2021,12:00,12:30,2,30
02/09/2021,14:00,16:00,2,120
02/09/2021,20:30,22:00,2,90
02/09/2021,22:00,00:00,5,120
02/10/2021,00:00,02:30,5,150
02/10/2021,08:00,10:00,1,120
02/10/2021,12:00,15:00,1,180
02/10/2021,15:30,17:30,11,120
02/10/2021,18:30,21:30,11,180
02/10/2021,21:30,23:30,3,120
02/10/2021,23:30,00:00,11,30
02/11/2021,00:00,00:30,11,30
02/11/2021,01:00,01:30,11,30
02/11/2021,01:30,03:30,7,120
02/11/2021,08:00,10:00,1,120
02/11/2021,10:00,11:00,3,60
02/11/2021,11:00,11:30,11,30
02/11/2021,14:30,17:30,7,180
02/11/2021,18:30,19:30,3,60
02/11/2021,19:30,22:00,6,150
02/12/2021,08:00,12:00,1,240
02/12/2021,13:00,14:30,12,90
02/12/2021,19:00,21:00,8,120
02/13/2021,11:00,13:00,1,120
02/13/2021,23:00,00:00,10,60
02/14/2021,01:00,01:30,8,30
02/14/2021,13:00,17:30,8,270
02/14/2021,23:00,00:00,4,60
02/15/2021,09:30,10:00,3,30
02/15/2021,10:00,10:30,7,30
02/15/2021,15:00,17:30,5,150
02/15/2021,18:30,19:30,7,60
02/15/2021,21:00,23:00,7,120
02/16/2021,08:00,09:00,1,60
02/16/2021,09:00,09:30,5,30
02/16/2021,09:30,10:00,10,30
02/16/2021,13:00,15:30,5,150
02/16/2021,16:30,18:30,2,120
02/16/2021,20:00,21:30,2,90
02/17/2021,09:00,10:00,1,60
02/17/2021,10:30,11:00,1,30
02/18/2021,08:00,10:00,1,120
02/18/2021,10:00,11:00,3,60
02/19/2021,10:00,11:00,1,60
02/19/2021,11:00,11:30,7,30
02/19/2021,11:30,12:00,1,30
02/19/2021,12:30,14:00,12,90
02/19/2021,18:00,21:30,7,210
02/20/2021,10:30,11:00,7,30
02/20/2021,11:00,13:00,1,120
02/21/2021,14:00,14:30,6,30
02/21/2021,15:00,19:00,6,240
02/21/2021,20:00,21:30,6,90
02/22/2021,11:30,12:00,7,30
02/22/2021,12:00,12:30,10,30
02/22/2021,12:30,13:00,11,30
02/22/2021,13:30,15:00,11,90
02/23/2021,08:00,10:00,1,120
02/23/2021,10:00,11:00,3,60
02/23/2021,13:00,14:30,2,90
02/23/2021,18:00,19:30,2,90
02/23/2021,19:30,22:00,5,150
02/23/2021,22:00,22:30,2,30
02/23/2021,22:30,23:00,4,30
02/24/2021,08:00,09:00,1,60
02/24/2021,10:00,11:00,3,60
02/24/2021,12:00,15:00,1,180
02/24/2021,15:00,17:00,6,120
02/25/2021,08:00,10:00,1,120
02/25/2021,10:00,11:00,3,60
02/25/2021,15:00,18:00,4,180
